Gender,Gendet_text,Race,Race_text,Education,Reationshship Status,Relationship_text,Employment,Employment_text,Age,Religion,Household,Siblings,A1,E1,P1,N1,A2,H1,M1,R1,M2,E2,Lon,H2,P2,N2,A3,N3,E3,H3,R2,M3,R3,P3,hap,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,PANAS_6,PANAS_7,PANAS_8,PANAS_9,PANAS_10,PANAS_11,PANAS_12,PANAS_13,SWL_1,SWL_2,SWL_3,SWL_4,SWL_5,big5_1,big5_2,big5_3,big5_4,big5_5,big5_6,big5_7,big5_8,big5_9,big5_10,big5_11,big5_12,big5_13,big5_14,big5_15,Q44
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),Single,,Part time,,31,Somewhat,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Some college but no degree,In a relationship,,Unemployed,,36,,1,1,1,7,3,10,1,1,3,2,3,5,7,1,4,6,4,10,7,3,5,3,4,0,3,3,5,3,5,5,3,5,3,5,5,3,4,3,1,1,1,1,1,3,5,4,5,5,3,4,4,5,1,3,4,4,1,5,
Male,,"Hispanic, Latino, Spanish Origin  (e.g. Mexican Mexican American, Puerto Rican Cuba, Salvadoran, Dominican, Columbian)",,Bachelor's degree in college (4year),In a relationship,,Full time,,31,,1,1,2,8,3,8,6,6,4,5,4,4,5,5,2,5,7,7,10,5,6,4,6,4,4,1,3,2,3,3,2,3,2,3,3,2,2,2,3,4,4,3,3,5,5,4,4,5,1,1,4,4,3,3,4,4,4,4,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Some college but no degree,Single,,Selfemployed,,28,,1,1,3,6,3,6,4,5,2,2,4,7,4,4,6,7,6,4,8,6,4,2,3,6,4,4,3,4,3,3,4,3,4,3,4,3,4,3,2,3,2,2,1,4,4,2,4,4,4,4,5,4,2,3,2,2,2,5,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),Single,,Full time,,36,,4,1,6,7,7,3,6,8,6,5,6,7,5,8,7,2,7,2,6,8,7,6,7,8,7,3,2,4,2,3,4,2,3,1,1,3,2,4,4,4,4,4,3,4,4,3,2,2,3,4,3,2,3,3,2,5,3,5,"On the question about how many siblings you have, there was no 0 option. I technically have a half sister but did not grow up with her and barely know her, and I have a deceased stepbrother, as well as a stepbrother I am not close to and a stepsister I don't even know."
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,High school graduate (high school diploma equivalent including GED),Single,,Unemployed,,31, Much,1,1,6,9,6,7,5,4,7,7,9,8,4,2,6,3,7,5,8,4,7,4,2,3,4,3,4,3,2,4,4,1,3,3,3,4,2,3,2,2,1,2,1,5,5,4,5,2,1,1,4,4,5,3,3,5,2,4,
Female,,"Hispanic, Latino, Spanish Origin  (e.g. Mexican Mexican American, Puerto Rican Cuba, Salvadoran, Dominican, Columbian)",,Bachelor's degree in college (4year),In a relationship,,Full time,,28,Somewhat,1,1,4,4,5,8,4,6,3,7,3,5,5,6,6,4,5,7,3,6,8,2,8,6,6,4,4,4,3,3,4,3,3,4,3,3,2,4,5,5,4,4,3,3,4,5,4,4,2,2,5,5,3,2,3,3,4,3,
Nonbinary/nonconforming,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Some college but no degree,Single,,Student,,26,,4,2,2,4,4,7,2,3,1,4,0,4,7,0,4,1,8,6,5,3,4,2,5,3,3,3,4,3,4,2,3,3,3,4,2,3,1,1,2,5,2,4,1,4,5,3,5,5,1,2,4,5,1,2,2,2,1,3,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Some college but no degree,Single,,Full time,,47,,2,1,0,7,5,2,0,5,2,10,9,2,1,3,9,4,8,4,8,5,10,0,5,2,5,3,3,3,3,2,2,2,2,4,2,1,2,2,4,3,4,2,7,5,4,4,3,2,3,4,4,3,3,2,5,2,2,3,
Male,,"Asian  (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)",,Some college but no degree,Single,,Student,,20,,5,1,4,5,4,1,4,4,4,4,5,4,1,5,5,6,4,7,5,4,2,4,4,4,5,3,4,3,4,3,3,4,3,5,1,3,3,3,3,3,4,4,2,5,4,4,2,4,3,5,4,5,2,2,3,3,4,3,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Some college but no degree,Single,,Full time,,28,,1,2,7,7,5,5,7,5,7,10,9,7,5,5,7,2,10,3,2,5,9,7,9,7,6,4,2,4,2,3,3,2,4,2,1,3,2,4,6,6,6,6,6,4,5,3,3,5,1,3,3,3,3,2,4,5,4,4,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),Single,,Student,,23, Much,1,4,7,7,6,9,6,7,7,8,8,6,7,5,6,4,7,6,5,6,6,7,4,6,7,4,2,4,1,5,5,2,3,4,4,4,2,3,3,4,5,5,5,1,5,2,5,4,5,1,4,5,2,3,4,5,2,3,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,High school graduate (high school diploma equivalent including GED),In a relationship,,Full time,,35,,5,2,5,6,7,7,6,7,10,3,10,8,1,7,8,2,2,2,9,7,10,7,3,3,8,4,3,4,2,3,4,2,4,1,2,3,2,2,6,6,7,7,7,5,3,1,2,4,3,1,3,1,1,3,3,5,5,4,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),In a relationship,,Full time,,23,,1,1,4,6,7,5,6,8,4,8,3,7,2,7,7,4,8,2,5,7,6,3,6,7,7,4,3,4,3,4,5,3,4,2,2,4,2,4,4,6,5,4,1,3,4,2,4,4,3,2,4,1,1,3,3,5,4,3,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,High school graduate (high school diploma equivalent including GED),In a relationship,,Student,,20,,2,2,7,7,5,8,6,7,5,7,8,4,9,6,5,5,8,5,8,8,4,6,5,5,7,4,3,4,3,2,3,4,3,3,1,3,3,3,3,6,6,5,7,4,4,2,4,5,4,4,4,4,2,2,3,5,3,3,
Female,,"Hispanic, Latino, Spanish Origin  (e.g. Mexican Mexican American, Puerto Rican Cuba, Salvadoran, Dominican, Columbian)",,High school graduate (high school diploma equivalent including GED),I prefer not to answer,,Unemployed,,21,,2,1,5,4,3,9,4,7,4,6,3,3,7,5,4,1,3,6,6,7,2,4,4,4,3,2,3,2,3,2,2,4,2,3,2,2,2,2,3,3,3,2,4,4,4,4,5,5,1,1,4,4,2,2,2,3,2,3,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Associate degree in college (2year),In a relationship,,Part time,,21,Somewhat,1,3,9,4,4,8,7,9,6,8,10,4,5,8,5,3,8,5,2,7,4,8,5,5,6,3,3,3,3,2,3,3,3,3,1,3,3,3,5,6,4,4,7,4,4,1,5,4,4,4,4,4,3,3,3,4,2,2,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),In a relationship,,Full time,,65, Much,1,2,9,9,9,4,9,9,9,7,9,8,3,9,9,2,10,4,9,9,9,9,9,9,9,4,2,4,1,3,4,2,4,2,2,4,2,4,6,6,6,6,6,4,4,2,3,4,3,2,2,2,2,3,4,4,4,3,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Some college but no degree,In a relationship,,Full time,,51,,1,2,7,8,8,1,8,9,9,9,10,9,0,8,9,1,9,0,6,9,10,8,10,9,9,4,1,5,1,4,5,1,5,1,1,4,1,5,6,6,6,5,5,3,4,2,1,5,4,1,2,1,1,4,4,4,5,4,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French),Asian  (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)",,Some college but no degree,Single,,Full time,,27,,3,3,1,8,4,1,3,5,2,8,2,8,6,2,4,1,7,6,9,5,5,0,4,5,3,3,4,3,4,4,3,4,2,1,1,3,2,3,1,3,3,1,1,3,4,5,2,3,2,2,5,5,1,2,2,4,2,4,there should have been an option f0 siblings and 0 family members that live with you
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Associate degree in college (2year),Single,,Full time,,36,,1,1,4,6,3,9,4,4,5,3,4,7,3,2,4,4,4,6,6,4,3,3,5,3,4,3,3,3,3,2,3,3,3,4,3,2,2,2,2,2,2,2,2,2,5,5,5,5,2,3,4,5,1,2,4,3,2,5,
Male,,"Black African American(e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian),American Indian Alaska Native(e.g. Navajo Nation, Blackfeet Trive, Mayan, Aztec, Native Villave of Barrow Inupiat Traditional Government, Nome Eskimo Community)",,Bachelor's degree in college (4year),Single,,Selfemployed,,31, Much,1,4,2,6,6,6,2,5,7,3,8,6,8,1,6,2,3,6,8,7,2,6,5,7,7,4,2,5,2,4,4,2,5,3,3,4,2,4,1,1,1,2,1,5,4,4,5,4,2,1,5,3,4,4,4,4,3,4,"No, thanks. "
Male,,"Asian  (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)",,Some college but no degree,Single,,Student,,23,,2,2,2,2,5,7,3,4,5,4,2,4,3,3,5,4,5,7,2,3,9,0,8,3,5,3,3,4,2,1,4,3,4,2,1,3,3,3,4,5,4,5,6,4,4,4,4,5,2,2,4,4,3,2,3,3,2,4,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Master's degree,In a relationship,,Full time,,66,,2,1,5,7,4,3,5,7,6,8,7,5,6,7,5,3,7,6,7,7,7,7,4,4,5,3,3,3,3,4,3,3,2,4,1,2,2,3,3,4,3,3,2,5,4,5,2,4,3,2,5,4,1,3,4,3,5,5,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Master's degree,In a relationship,,Retired,,58,,1,3,10,10,9,0,10,10,8,7,9,10,0,10,10,0,10,0,6,10,10,7,8,10,9,5,1,5,1,4,4,1,4,1,1,3,1,5,6,6,6,6,6,4,4,1,2,3,4,1,1,1,1,5,5,5,3,5,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Master's degree,In a relationship,,Full time,,30,,1,2,6,6,5,4,8,8,7,6,5,4,2,5,7,4,8,5,6,8,9,6,9,8,8,4,3,4,3,3,3,2,4,3,1,2,2,4,6,6,6,5,6,4,4,5,2,4,3,2,4,3,2,2,4,4,5,4,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),In a relationship,,Student,,27,Prefer not to answer,1,3,8,6,5,5,6,5,7,5,9,6,6,5,6,4,8,4,6,5,4,8,5,6,6,4,3,4,3,3,4,3,4,2,2,4,2,3,5,6,6,6,4,5,3,1,4,4,1,3,1,3,2,2,2,5,3,4,
Male,,"Black African American(e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian)",,Master's degree,"Other, please specify",Married,Full time,,38,Somewhat,4,3,9,8,10,5,8,9,9,8,9,8,2,9,8,4,7,10,5,8,10,10,9,10,8,5,1,5,1,5,5,1,5,1,2,5,1,5,4,5,7,6,5,2,2,1,2,3,5,2,1,2,3,5,5,4,5,5,
Female,,"Asian  (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)",,Some college but no degree,In a relationship,,Student,,37,,1,3,9,7,7,5,8,5,5,0,5,9,1,2,8,2,7,4,10,5,7,7,9,8,7,4,2,4,2,3,4,2,4,2,3,3,2,4,3,6,5,1,1,5,5,2,4,3,3,1,2,2,4,3,3,5,4,3,
Female,,"Asian  (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)",,Bachelor's degree in college (4year),Single,,Full time,,22,Somewhat,2,1,6,4,5,7,4,6,3,6,3,5,8,3,6,2,6,7,6,6,4,2,6,4,4,3,3,3,3,2,3,2,3,3,2,3,2,2,2,4,2,2,1,5,4,4,4,4,1,1,4,4,3,3,5,4,5,4,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Master's degree,In a relationship,,Full time,,37,,1,1,8,8,5,6,7,4,8,9,8,7,3,5,8,2,10,3,8,4,8,8,8,5,7,4,3,4,2,3,4,1,4,2,2,3,1,3,6,6,6,6,7,1,5,4,4,3,4,1,4,2,1,3,5,5,3,4,
Female,,"Hispanic, Latino, Spanish Origin  (e.g. Mexican Mexican American, Puerto Rican Cuba, Salvadoran, Dominican, Columbian)",,Some college but no degree,In a relationship,,Student,,19,,3,1,3,7,6,7,5,4,4,5,4,4,7,3,6,2,4,8,7,3,8,5,8,4,2,3,4,3,3,4,3,4,3,4,2,3,3,2,2,1,3,5,4,4,5,2,5,4,2,4,4,5,2,2,4,4,1,3,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French),Asian  (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)",,Associate degree in college (2year),In a relationship,,Unemployed,,31,,2,5,4,8,5,4,6,7,3,9,8,4,1,6,6,1,5,2,10,5,7,2,4,6,5,4,2,3,2,3,3,2,3,1,1,3,1,3,2,2,1,2,2,2,4,5,4,2,3,1,4,2,3,3,4,2,2,4,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Less than high school degree,In a relationship,,Selfemployed,,39,Somewhat,2,1,5,6,5,9,5,7,5,5,5,6,7,4,6,7,4,8,7,7,5,5,6,6,4,3,4,3,3,2,2,4,2,3,3,2,3,2,2,2,3,2,1,5,4,3,4,4,2,3,4,4,3,2,2,3,2,4,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),In a relationship,,Selfemployed,,48, Much,3,1,7,7,7,3,8,6,6,5,7,6,5,6,7,4,9,3,10,7,8,7,6,7,7,3,3,3,3,4,4,2,3,3,2,3,1,3,5,5,5,6,3,4,4,4,3,5,3,3,4,2,2,4,2,5,4,4,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Some college but no degree,In a relationship,,Part time,,29,,1,2,1,5,4,6,3,2,4,5,2,2,7,2,4,3,1,8,9,2,3,5,7,5,4,3,3,2,4,1,3,3,4,2,1,4,2,2,2,2,2,3,2,2,2,5,5,4,2,4,5,5,4,2,2,2,1,2,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),Single,,Full time,,26,,1,2,6,6,5,6,3,8,6,7,5,5,4,7,5,5,5,6,6,7,7,3,7,5,5,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,2,5,4,4,4,2,2,4,4,2,3,4,5,2,4,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French),Hispanic, Latino, Spanish Origin  (e.g. Mexican Mexican American, Puerto Rican Cuba, Salvadoran, Dominican, Columbian)",,Bachelor's degree in college (4year),Single,,Unemployed,,54, Much,1,3,7,9,8,2,7,7,7,9,8,9,1,7,8,0,7,1,9,7,8,8,7,8,8,4,2,4,2,4,4,3,4,2,2,4,1,4,5,5,5,5,2,4,5,2,1,5,4,1,2,1,1,4,5,5,4,5,Thank you..
Male,,"Black African American(e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian)",,Master's degree,In a relationship,,Full time,,35,Somewhat,5,4,7,8,8,6,8,8,7,4,7,5,4,7,7,3,6,4,9,7,6,7,8,5,9,4,3,4,2,5,4,2,4,2,3,4,3,5,5,4,5,6,3,2,4,3,4,5,3,4,2,3,4,4,4,5,5,4,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),In a relationship,,Full time,,35, Much,3,2,7,7,7,5,7,7,8,10,8,7,1,5,8,3,9,2,8,6,8,7,7,8,8,4,2,4,2,4,4,2,4,1,1,4,2,4,6,5,6,5,5,4,5,1,4,2,4,2,2,1,2,2,4,5,5,4,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Master's degree,Single,,Full time,,42,,1,1,9,9,7,4,10,9,9,7,9,9,4,9,9,2,10,2,10,9,4,9,6,9,9,4,2,4,2,4,4,2,4,2,2,3,2,4,6,6,6,6,3,5,4,1,4,5,2,4,2,1,1,4,3,5,4,5,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,High school graduate (high school diploma equivalent including GED),Single,,Full time,,31,Somewhat,1,4,5,5,5,5,5,8,5,5,3,5,0,5,5,5,10,5,5,8,5,5,5,5,5,4,3,4,3,5,3,3,4,3,1,4,3,3,4,4,4,4,4,2,3,3,3,3,4,4,3,3,2,3,4,3,2,4,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),Single,,Selfemployed,,51,,2,1,1,7,2,7,3,2,1,2,0,4,6,0,4,2,3,4,9,1,1,0,0,3,3,4,3,4,3,2,4,3,2,3,1,1,3,3,2,2,3,2,6,1,4,5,2,5,5,3,3,3,2,1,2,3,3,3,"You do not offer the option of ""0"" feither other people in your household besides yourself fthe number of siblings. I was forced to put ""1"" fsiblings in order to move on, but I am an only child."
Female,,"Black African American(e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian)",,Some college but no degree,Single,,Selfemployed,,23,,3,1,6,9,6,4,6,8,7,7,10,9,5,4,7,4,3,4,8,7,5,9,4,6,8,4,2,4,1,2,3,2,4,2,3,3,3,3,2,6,3,2,1,5,5,5,2,5,1,1,2,1,1,4,2,4,4,3,
Male,,"Asian  (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)",,Some college but no degree,In a relationship,,Student,,21, Much,3,1,8,9,8,3,9,10,9,10,10,9,0,9,10,2,10,1,9,9,8,9,8,10,9,4,2,4,2,4,4,2,4,1,2,4,3,4,6,6,6,6,5,5,4,1,2,5,3,1,1,1,1,4,3,5,5,4,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),Single,,Part time,,21,Somewhat,2,1,8,8,8,8,7,9,7,6,8,7,5,7,7,5,8,5,8,10,8,7,7,6,8,4,3,4,2,3,4,2,4,3,1,4,3,4,5,6,5,4,2,5,5,1,3,2,3,1,1,4,3,4,4,5,4,3,
Male,,"Asian  (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)",,Some college but no degree,Single,,Student,,26,,3,1,3,6,3,3,4,5,2,5,3,4,3,2,7,1,6,4,7,5,3,3,4,5,4,2,2,2,2,2,3,2,2,2,2,2,1,3,1,2,2,2,1,5,5,2,2,2,1,1,2,2,3,2,2,3,5,2,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),In a relationship,,Unemployed,,27,,1,3,4,6,7,8,5,7,5,3,3,5,6,6,7,4,6,6,7,6,5,3,5,5,7,4,2,4,2,4,4,2,4,3,3,4,3,4,2,3,3,3,3,5,5,2,3,5,1,2,4,4,2,2,3,4,4,4,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,High school graduate (high school diploma equivalent including GED),In a relationship,,Full time,,50, Much,4,3,8,5,6,1,9,8,8,7,9,8,1,8,8,1,9,1,5,9,10,8,8,8,8,4,1,4,1,3,4,1,4,1,1,4,1,4,5,5,6,5,3,5,4,2,2,1,2,3,2,2,4,3,2,4,4,4,
Male,,"Black African American(e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian)",,High school graduate (high school diploma equivalent including GED),Single,,Student,,27,Somewhat,2,6,9,7,8,1,9,9,9,4,10,9,7,9,8,3,8,2,5,9,6,10,5,10,9,4,2,4,2,4,4,2,4,4,2,2,4,5,2,3,5,4,1,5,5,4,2,5,3,5,5,4,1,5,4,4,4,5,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Some college but no degree,Single,,Part time,,30,,1,3,5,5,4,8,3,5,2,6,3,4,6,2,4,3,5,4,6,3,5,3,2,3,4,3,3,3,2,2,3,2,3,3,2,2,2,2,2,3,4,2,2,4,4,4,4,4,1,3,4,4,5,1,3,4,1,2,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French),Hispanic, Latino, Spanish Origin  (e.g. Mexican Mexican American, Puerto Rican Cuba, Salvadoran, Dominican, Columbian)",,Bachelor's degree in college (4year),Single,,Student,,24,,5,3,3,6,6,8,4,6,4,8,4,6,3,3,5,2,7,5,8,7,8,3,8,7,6,4,3,4,3,2,4,2,4,3,4,4,2,4,3,6,5,5,3,5,4,2,5,4,2,1,4,2,2,3,4,5,4,4,
Male,,"Asian  (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)",,Bachelor's degree in college (4year),In a relationship,,Full time,,34,Somewhat,3,1,4,5,2,5,5,5,6,7,5,4,5,6,5,8,8,5,7,5,6,4,7,6,5,2,3,2,3,2,2,3,3,3,3,1,4,3,4,4,5,5,1,5,3,4,5,3,2,4,4,3,5,1,1,4,1,2,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),In a relationship,,Unemployed,,23,,2,1,4,6,4,9,3,7,4,9,4,4,4,6,4,4,3,7,6,6,8,6,8,5,4,3,4,3,4,2,3,4,3,4,2,2,2,3,2,3,3,3,3,5,5,1,5,4,2,2,5,4,2,3,4,5,2,3,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French),Black African American(e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian),American Indian Alaska Native(e.g. Navajo Nation, Blackfeet Trive, Mayan, Aztec, Native Villave of Barrow Inupiat Traditional Government, Nome Eskimo Community),Hispanic, Latino, Spanish Origin  (e.g. Mexican Mexican American, Puerto Rican Cuba, Salvadoran, Dominican, Columbian)",,Associate degree in college (2year),In a relationship,,Full time,,37, Much,2,3,7,10,10,5,10,7,10,7,8,10,0,7,8,0,10,0,10,7,7,8,9,10,9,4,2,4,1,4,4,1,5,2,1,4,1,5,5,5,5,5,2,5,5,1,5,5,3,1,1,1,1,3,1,5,5,5,Honestly nothing that I can think off off the top of my head. Thank you fthe study.
Female,,"Black African American(e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian)",,Some college but no degree,Single,,Unemployed,,30,,1,5,7,6,5,6,6,9,7,7,6,7,10,6,7,3,7,3,5,10,6,5,2,6,8,4,4,3,3,2,3,2,3,2,2,2,2,2,6,6,5,5,5,5,5,1,1,5,2,1,1,2,1,2,2,4,5,4,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),"Other, please specify",widowed,Retired,,68,,1,3,8,8,7,1,9,6,10,10,10,10,0,8,8,2,10,1,8,8,10,10,10,10,10,5,1,5,1,5,5,1,5,1,1,3,1,5,7,6,7,7,7,4,4,3,1,4,2,2,4,1,1,3,5,4,5,3,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),In a relationship,,Other,not in paid work,39, Much,2,1,8,7,7,1,10,6,9,2,6,7,8,6,7,4,7,5,3,7,6,8,6,6,2,4,3,4,3,3,3,3,4,2,2,3,4,4,5,4,5,6,5,3,5,2,2,5,2,3,2,4,3,2,3,4,4,5,
Female,,"Black African American(e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian)",,Associate degree in college (2year),In a relationship,,Part time,,23,Somewhat,6,4,7,10,5,8,8,9,6,3,5,9,5,8,6,6,10,7,9,8,8,7,9,6,6,4,3,4,3,5,5,3,3,3,4,4,2,4,3,2,3,2,1,5,4,3,5,5,3,1,3,4,2,3,4,5,5,5,
